CustomerID,Lookalikes
C0001,"[('C0174', 0.8699265790329604), ('C0011', 0.8251309690466081), ('C0192', 0.798925061036846)]"
C0002,"[('C0043', 0.7783403258905465), ('C0134', 0.7124658060179486), ('C0088', 0.6890703257829344)]"
C0003,"[('C0129', 0.8339392515523502), ('C0006', 0.7873305139514085), ('C0133', 0.7841607976940501)]"
C0004,"[('C0102', 0.9391246899906938), ('C0113', 0.899967010484455), ('C0165', 0.8359343735156959)]"
C0005,"[('C0159', 0.876789249244724), ('C0007', 0.8748779888242728), ('C0186', 0.8263009593809899)]"
C0006,"[('C0003', 0.7873305139514085), ('C0120', 0.7756065787265101), ('C0129', 0.7669842297444178)]"
C0007,"[('C0005', 0.8748779888242728), ('C0159', 0.7581458341347909), ('C0040', 0.694671265967945)]"
C0008,"[('C0024', 0.8618699510941368), ('C0047', 0.8213152175457769), ('C0194', 0.8193507220920917)]"
C0009,"[('C0119', 0.9244993888324581), ('C0121', 0.8521730374395774), ('C0103', 0.8371275614349545)]"
C0010,"[('C0062', 0.9130031560283819), ('C0086', 0.8949314862413397), ('C0073', 0.8261148718158373)]"
C0011,"[('C0174', 0.8697941196102321), ('C0171', 0.8623764164411987), ('C0001', 0.8251309690466081)]"
C0012,"[('C0039', 0.8956668945195648), ('C0087', 0.8563906803469402), ('C0195', 0.8401357988959981)]"
C0013,"[('C0087', 0.8996720234866664), ('C0155', 0.8732435968070541), ('C0099', 0.8542972112741262)]"
C0014,"[('C0060', 0.8639292093876078), ('C0121', 0.8421728118375571), ('C0009', 0.8163094165968212)]"
C0015,"[('C0094', 0.8311807803000304), ('C0033', 0.7801617944631262), ('C0125', 0.7536207989513758)]"
C0016,"[('C0024', 0.843418141382674), ('C0050', 0.7972846000380109), ('C0194', 0.7928528962018987)]"
C0017,"[('C0075', 0.8267315482615931), ('C0105', 0.7990270374597749), ('C0051', 0.7490190382404128)]"
C0018,"[('C0117', 0.8723149102725711), ('C0046', 0.7988042844623446), ('C0185', 0.6777409206790079)]"
C0019,"[('C0127', 0.8005636302705377), ('C0103', 0.788674726446242), ('C0164', 0.6857343508515626)]"
C0020,"[('C0036', 0.8632712849453696), ('C0050', 0.8109429072519144), ('C0080', 0.7998086367837617)]"
